,real_price_test,predict_price_test
0,62.31,62.94485092163086
1,62.13,62.33570861816406
2,61.04,62.15596389770508
3,61.13,61.067501068115234
4,59.96999999999999,61.157371520996094
5,59.96999999999999,59.9990119934082
6,60.19,59.9990119934082
7,60.55,60.21870040893555
8,59.88,60.578189849853516
9,59.18,59.909141540527344
10,58.62,59.21012496948242
11,58.03,58.65091323852539
12,56.73,58.061744689941406
13,55.6,56.76357650756836
14,55.9,55.635169982910156
15,55.03,55.934749603271484
16,55.35000000000001,55.06597137451172
17,55.05,55.38552474975586
18,54.25,55.08594512939453
